id,created_at,clean_text,polarity,subjectivity,lang,followers_count,friends_count,favourites_count
1405949531909464074,2021-06-18 18:04:24+00:00,"rt  projecthalo  all uk adults are now eligible for their  covid19 vaccine  

the vaccines are safe  and effective at preventing you from g…",0.55,0.65,en,372,1073,1781
1405949545360597003,2021-06-18 18:04:27+00:00,rt  mediccgail  biocubafarma says phase 3 clinical trial results for  cuban  covid19  vaccines are due out in a few days  soberana02  with…,-0.1625,0.2375,en,136,851,1917
1405949548485386243,2021-06-18 18:04:28+00:00,rt  paulreiddublin  some good news for friday  yesterday we had our highest daily administration of vaccines at over 58 000  on course for…,0.35,0.30000000000000004,en,4264,1994,46208
1405949551312216068,2021-06-18 18:04:28+00:00,rt  itranslate123   israelmfa israel is a brutal nazi like entity     it sent expired vaccines to palestinians to further worsen the covid1…,-0.4375,0.75,en,1226,1164,73874
1405949558329380866,2021-06-18 18:04:30+00:00,"rt  onthealth  ontario has administered over 12 million doses of  covid19 vaccines  

vaccines work  the best vaccine for your second dose…",0.5,0.15,en,2721,1252,3339
1405949618467205121,2021-06-18 18:04:44+00:00,"rt  quizzicalgirl  please do your research first if you read or see something about vaccines or  covid19 that sounds unusual 

spreading di…",0.225,0.6666666666666666,en,1368,843,175991
1405949666135527429,2021-06-18 18:04:56+00:00,rt  itranslate123   israelmfa israel is a brutal nazi like entity     it sent expired vaccines to palestinians to further worsen the covid1…,-0.4375,0.75,en,1469,2175,52449
1405949684963762180,2021-06-18 18:05:00+00:00,rt  realjoelsmalley  yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy…,5.551115123125783e-17,0.9,en,141,340,803
1405949686926565377,2021-06-18 18:05:01+00:00,rt  israelintoronto  people over politics  israel is delivering more than a million doses of  covid19 vaccines to the palestinian authority…,0.5,0.5,en,2675,4924,112483
1405949700671512580,2021-06-18 18:05:04+00:00,"“can you mix and match covid 19 vaccines ”   via  usnews    
  
 covid19  covidvaccine…  ",0.0,0.0,en,8537,2237,2681
1405949708128903168,2021-06-18 18:05:06+00:00,"rt  vaxyourfam  “can you mix and match covid 19 vaccines ”   via  usnews    
  
 covid19  covidvaccine   vaxnews   va…",0.0,0.0,en,6856,4582,2403
1405949716509171718,2021-06-18 18:05:08+00:00,rt  telglobalhealth   africa is in the midst of a full blown third wave    moetitshidi said   the sobering trajectory of surging cases shou…,0.0,0.0,en,69,164,8954
1405949728534282247,2021-06-18 18:05:11+00:00,where the wet gyal in he pose gone ,-0.1,0.4,en,1253,520,109326
1405949738193756163,2021-06-18 18:05:13+00:00,rt  globalhlthtwit  dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate re…,0.13333333333333333,0.45555555555555555,en,2047,5000,208548
1405949780191109120,2021-06-18 18:05:23+00:00, victoryday hope please  do your research before you spread false information about vaccines ,-0.4000000000000001,0.6,en,2753,2831,50879
1405949788097499143,2021-06-18 18:05:25+00:00,rt  cdcdirector  i’m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n…,0.6444444444444445,0.9111111111111111,en,226,231,50725
1405949799472447494,2021-06-18 18:05:28+00:00,rt  itranslate123   israelmfa israel is a brutal nazi like entity     it sent expired vaccines to palestinians to further worsen the covid1…,-0.4375,0.75,en,1284,1673,23726
1405949806229344258,2021-06-18 18:05:29+00:00,"rt  sonalivaid  vaccines are essential but if the surge has begun african countries need much more 
send oxygen
send essential supplies 
en…",0.125,0.275,en,807,645,1162
1405949861225189376,2021-06-18 18:05:42+00:00,"rt  skyriakideseu  the timely delivery of  covid19 vaccines is crucial  

i welcome today’s decision by the belgian court of first instance…",0.35000000000000003,0.7444444444444445,en,1013,820,155468
1405949872428179465,2021-06-18 18:05:45+00:00,rt  gadph  it s true   covid19 vaccines will not give you the virus  the vaccines teach your body how to react  so you have the best immuni…,0.675,0.475,en,503,60,1580
1405949902555959296,2021-06-18 18:05:52+00:00,rt  profpmiddleton    nicolasturgeon reports that whereas around 13  of positive  covid19 cases ended up in hospital at the beginning of th…,0.22727272727272727,0.5454545454545454,en,2465,3922,47029
1405949937498562560,2021-06-18 18:06:01+00:00,rt  drkellyvictory  it’s long past the time to pull the plug on the  covid19 vaccines  fortunately  we have multiple options for safe  effe…,0.12000000000000002,0.37,en,25,68,396
1405949957962600451,2021-06-18 18:06:05+00:00,bathong lena   a se yona mass gathering  ro topa topa covid19 mos,0.0,0.0,en,1072,515,293
1405949988492906498,2021-06-18 18:06:13+00:00,rt  itranslate123   aipac will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous…,0.0,0.0,en,110,487,13793
1405949988505538561,2021-06-18 18:06:13+00:00,rt  israelmfa  israel will deliver more than a million doses of  covid19 vaccines to the palestinian authority to help it fight the corona…,0.5,0.5,en,134,840,86367
1405950006121664523,2021-06-18 18:06:17+00:00,2  dr tedros warns   vaccines donated next year will be far too late for those who are dying or being infected or w…  ,-0.06666666666666667,0.5333333333333333,en,215,63,49
